Company Name,ASX code,Date Delisted*,Reason
INVICTUS GOLD LIMITED,IVG,10/01/2014,following the merger by scheme of arrangement with Impact Minerals Limited.
JUPITER MINES LIMITED,JMS,10/01/2014,following shareholder approval at the Annual General Meeting held on 28 November 2013.
RHG LIMITED,RHG,13/01/2014,"following the implementation of Scheme of Arrangement with Australian Mortgage Acquisition Company Pty Limited, backed by Resimac Limited."
CENTRAL AUSTRALIAN PHOSPHATE LIMITED,CEN,21/01/2014,following compulsory acquisition by Rum Jungle Resources Limited.
BEACON HILL RESOURCES PLC,BHU,23/01/2014,following the request of the company.
KUTH ENERGY LIMITED,KEN,23/01/2014,following completion of the compulsory acquisition process by Geodynamics Limited.
GOLD ONE INTERNATIONAL LIMITED,GDO,30/01/2014,following the compulsory acquisition of the Company by BCX Gold.
PROGRESS 2005-2 TRUST,POI,30/01/2014,following redemption of all remaining notes of the Trust.
BIONICHE LIFE SCIENCES INC.,BNC,3/02/2014,at the Company's request.
CBD ENERGY LIMITED,CBD,3/02/2014,at the request of the Company.
MAX TRUST,MXQ,3/02/2014,following the sale of the Trust's remaining assets.
PMI GOLD CORPORATION,PVM,10/02/2014,following completion of the statutory plan of arrangement and approval by the Supreme Court of British Columbia.
TRANZACT FINANCIAL SERVICES LIMITED,TFS,13/02/2014,Following compulsory acquisition by Gro-Aust Holdings Limited under its takeover offer.
CARABELLA RESOURCES LIMITED,CLR,19/02/2014,following compulsory acquisition by Wealth Mining Pty Ltd under its takeover offer.
PUMA MASTERFUND S-3,PUF,21/02/2014,following redemption of all remaining notes of the Trust.
XCEED RESOURCES LTD,XCD,26/02/2014,following the merger by scheme of arrangement between the company and Keaton Energy Holdings Limited.
INSTITUTO DE CREDITO OFICIAL,ICF,28/02/2014,Following the maturity of all remaining notes of the Issuer.
E-PAY ASIA LIMITED,EPY,3/03/2014,following the compulsory acquisition notice from GHL Systems Berhad.
GLORY RESOURCES LIMITED,GLY,17/03/2014,following the compulsory acquisition of the Company by Eldorado Gold Cooperatief UA.
BELLA TRUST SERIES 2010-1,BNN,21/03/2014,following full redemption of all remaining notes of the Trust on 19 March 2014.
BANK OF SCOTLAND PLC,BNS,21/03/2014,following maturity of all remaining notes of the Company on 19 March 2014.
SCOTT CORPORATION LIMITED.,SCC,7/04/2014,following completion of the compulsory acquisition process by K & S Corporation Limited.
AMPELLA MINING LIMITED,AMX,11/04/2014,"at the request of the Company, following the compulsory acquisition by Centamin West Africa Holdings Limited."
STIRLING RESOURCES LIMITED,SRE,11/04/2014,Following the compulsory acquisition of the Company by DCM DECOmetal GmbH.
REAL ESTATE CORP LIMITED,RNC,16/04/2014,Following compulsory acquisition by Namarong Investment Pty Ltd.
AVEO HEALTHCARE LIMITED,AEH,22/04/2014,at the request of the Company following shareholders approval at the General Meeting held on 18 March 2013.
