Company Name,ASX code,Date Delisted*,Reason
THE MAC SERVICES GROUP LIMITED,MSL,4/01/2011,"following completion of the scheme of arrangement between the Company and Oil States International, Inc."
ANDEAN RESOURCES LIMITED,AND,5/01/2011,following completion of the Scheme of Arrangement with Goldcorp Inc.
ITX GROUP LIMITED,ITX,5/01/2011,following completion of the Scheme of Arrangement between the Company and Avnet Technology Solutions (Australia) Pty Ltd.
PELORUS PROPERTY GROUP LIMITED.,PPI,10/01/2011,following the proposed demerger as approved by shareholders at the Extraordinary General Meeting held on 22 December 2010.
CITADEL RESOURCE GROUP LIMITED,CGG,18/01/2011,following the issue of compulsory acquisition notices by Equinox Resources Limited under its takeover offer for all of the Company's shares.
PROVET HOLDINGS LIMITED,PVT,25/01/2011,"following completion of the scheme of arrangement between the company and Pelican Acquisition Company Pty Ltd, an indirect subsidiary of Henry Schein Inc."
CRUSADE ABS SERIES 2008-1 TRUST,CSO,27/01/2011,following redemption of the remaining classes of notes of the Trust.
SERIES 2006-1 REDS EHP TRUST,REJ,2/02/2011,following full repayment of the outstanding principal amount of the Notes.
APOLLO GAS LIMITED,AZO,9/02/2011,following the completion of compulsory acquistion of the Company's securities by Dart Energy Limited.
CLEVER COMMUNICATIONS AUSTRALIA LIMITED,CVA,9/02/2011,following the compulsory acquistion notices by BigAir Group Limited under its takeover offer for all of the Company's shares.
CHALLENGER WINE TRUST,CWT,14/02/2011,"following implementation of the trust scheme between the Challenger Listed Investments Limited, as a responsible entity of the Trust, and CK Life Sciences Int'l., Inc."
ASTRA CAPITAL LIMITED,AKR,21/02/2011,following the despatch of compulsory acquisition notices by Taverners No.12 Pty Ltd in its capacity as trustee for the Taverners No.12 Unit Trust and Taverners AKR Pty Ltd in its capacity as trustee for the Taverners (Australia) Trust No. 2.
AVOCA RESOURCES LIMITED,AVO,21/02/2011,following the completion of the scheme of arrangement.
DOMINION MINING LIMITED,DOM,25/02/2011,following the merger by scheme of arrangement with Kingsgate Consolidated Limited being effective.
INTERNATIONAL COAL HOLDINGS LIMITED,ICL,18/03/2011,in accord with the Scheme of Arrangement.
AXA ASIA PACIFIC HOLDINGS LIMITED,AXA,31/03/2011,following implementation of scheme of arrangement.
ING INDUSTRIAL FUND,IIF,1/04/2011,Following completion of the scheme of arrangement between the Fund and Goodman Industrial Funds Management Limited.
ESSA AUSTRALIA LIMITED,ESS,7/04/2011,following completion of the compulsory acquisition of the Company by FLSmidth Pty Ltd.
GIRALIA RESOURCES NL,GIR,7/04/2011,following the compulsory acquisition by Atlas Iron Limited.
LIBERTY SERIES 2006-2 TRUST,LIA,12/04/2011,following the redemption of all remaining notes of the Trust.
IMPRESS ENERGY LIMITED,ITC,20/04/2011,following the compulsory acquisition of the Company by Beach Energy Limited.
SYLVANIA RESOURCES LIMITED,SLV,20/04/2011,"following the admission of Sylvania Platinum Limited (SLP), the sucessor entity of the Company, to the Official List."
ARAGON RESOURCES LIMITED,AAG,6/05/2011,following the compulsory acquisition by Westgold Resources Limited.
CRANE GROUP LIMITED,CRG,6/05/2011,following completion of the compulsory acquisition process by Fletcher Building (Australia) Pty Limited.
ROSS HUMAN DIRECTIONS LIMITED,RHD,6/05/2011,following completion of the takeover offer by Chandler Macleod Group Limited.
ALPHA TECHNOLOGIES CORPORATION LIMITED,ASU,9/05/2011,following the request of the Company.
RP DATA LTD,RPX,13/05/2011,following completion of the scheme of arrangement between the Company and CoreLogic Australia Pty Limited.
TOWER AUSTRALIA GROUP LIMITED,TAL,13/05/2011,"following completion of the scheme of arrangement between the Company and The Dai-ichi Life Insurance Company, Limited."
AUSTEREO GROUP LIMITED,AEO,16/05/2011,following completion of the takeover offer made by Southern Cross Media Group Limited.
BLUE CAPITAL LIMITED,BIV,16/05/2011,following the request of the Company.
SYLVASTATE LIMITED,SYL,16/05/2011,following the completion of the scheme of arrangement between the company and Whitefield Limited.
CPI GROUP LIMITED,CPI,17/05/2011,following confirmation of the implementation of the scheme of arrangement by which PagePack (AU) Pty Ltd has acquired all of the issued shares of the Company.
STUART PETROLEUM LIMITED,STU,1/06/2011,following completion of the takeover offer made by Senex Energy Limited (SXY).
ASCENT PHARMAHEALTH LTD,APH,3/06/2011,following the request of the company.
PRIME INFRASTRUCTURE GROUP.,PIH,3/06/2011,following completion of the scheme of arrangement whereby all of the Group's fully paid stapled securities were acquired by Brookfield Infrastructure Partners L.P.
MANTRA RESOURCES LIMITED,MRU,15/06/2011,following the merger by scheme of arrangement between the company and JSC Atomredmetzoloto becoming effective.
HEXIMA LIMITED,HXL,17/06/2011,Following the request of the Company.
JABIRU METALS LIMITED,JML,22/06/2011,following compulsory acquisition by Independence Group NL under its takeover offer.
LIBERTY SERIES 2007-1 SME/CMBS TRUST,LIE,29/06/2011,following redemption of all remaining notes of the Trust.
INDUSTRIAL BANK OF KOREA,IOK,30/06/2011,following failure to quote any securities on or before 30 June 2011.
RIVERSDALE MINING LIMITED,RIV,7/07/2011,following the compulsory acquisition by Rio Tinto Jersey Holdings 2010 Limited.
IGDX HOLDINGS LTD,IGX,8/07/2011,following the Listing Suspended Companies Policy.
WHITE CANYON URANIUM LIMITED,WCU,8/07/2011,following the complusory acquisition by Denison Mines Corp.
TRANSFIELD SERVICES INFRASTRUCTURE FUND,TSI,11/07/2011,"following completion of the schemes of arrangement whereby all of the Fund¿s stapled securities, other than those held by Transfield Services Limited, were acquired by a subsidiary of Ratchaburi Electricity Generating Holding PCL."
