Company Name,ASX code,Date Delisted*,Reason
UGL LIMITED,UGL,3/01/2017,"As from the close of trading on Tuesday, 3 January 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
DRIVER AUSTRALIA ONE TRUST,DAO,13/01/2017,"As from the close of trading on Friday, 13 January 2017 the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
INTUERI EDUCATION GROUP LIMITED,IQE,17/01/2017,"As from the close of trading on Tuesday, 17 January 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.2."
MALABAR COAL LIMITED,MBC,20/01/2017,"As from the close of trading on Friday, 20 January 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
METALIKO RESOURCES LIMITED,MKO,27/01/2017,As from the close of trading on Friday. 27 January 2017 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14.
WORLD TITANIUM RESOURCES LIMITED,WTR,31/01/2017,"As from the close of trading on Monday, 30 January 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
MEDTECH GLOBAL LIMITED,MDG,6/02/2017,"As from the close of trading on Monday, 6 February 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
QUICKFLIX LIMITED,QFX,14/02/2017,"As from the close of trading on Tuesday, 14 February 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
NEON CAPITAL LTD,NEN,24/02/2017,"As from the close of trading on Friday, 24 February 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
FAIRSTAR RESOURCES LIMITED,FAS,6/03/2017,"Prior to the commencement of trading on Monday, 6 March 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
CHINA WASTE CORPORATION LIMITED,CWC,7/03/2017,"As from the commencement of trading on Tuesday, 7 March 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
WARRNAMBOOL CHEESE & BUTTER FACTORY CO.HOLD.LTD,WCB,10/03/2017,"As from the close of trading on Thursday, 9 March 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
CLARITY OSS LIMITED,CYO,13/03/2017,"As from the close of trading on Friday, 10 March 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
AUSTRALIA CHINA HOLDINGS LIMITED,AAK,21/03/2017,"As from the commencement of trading on Tuesday, 21 March 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
KIMBERLEY DIAMONDS LTD,KDL,21/03/2017,"As from the close of trading on Tuesday, 21 March 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
HYPOTHEKENBANK IN ESSEN AKTIENGESELLSCHAFT,HES,22/03/2017,"As from the close of trading on Wednesday, 22 March 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
CRUSADE ABS SERIES 2012-1 TRUST,CRI,29/03/2017,"As from the close of trading on Wednesday, 29 March 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
COLONIAL HOLDING COMPANY LIMITED,CNG,31/03/2017,"As from the close of trading on Friday, 31 March 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
PUMA MASTERFUND P-13,PUI,11/04/2017,"As from the close of trading on Tuesday, 11 April 2017 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11"
PROTO RESOURCES & INVESTMENTS LTD,PRW,13/04/2017,"Prior to commencement of trading on Thursday, 13 April 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
COVER-MORE GROUP LIMITED,CVO,18/04/2017,"As from the close of trading on Tuesday, 18 April 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
MOLY MINES LIMITED,MOL,24/04/2017,"As from the commencement of trading on Monday, 24 April 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
CRUSADE GLOBAL TRUST NO.1 OF 2007,CTH,27/04/2017,"As from the close of trading on Thursday, 27 April 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
CHARTER PACIFIC CORPORATION LIMITED,CHF,12/05/2017,"As from the close of trading on Friday, 12 May 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
E & A LIMITED,EAL,12/05/2017,"As from the close of trading on Friday, 12 May 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
TASMANIA MINES LIMITED,TMM,15/05/2017,"As from the close of trading on Monday, 15 May 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
BRADKEN LIMITED,BKN,17/05/2017,"As from the close of trading on Tuesday, 16 May 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.14."
DUET GROUP,DUE,17/05/2017,"As from the close of trading on Tuesday, 16 May 2017, the abovementioned group was removed from the Official List pursuant to Listing rule 17.11."
PULSE HEALTH LIMITED,PHG,18/05/2017,"As from the close of trading on Wednesday, 17 May 2017, the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
RUBIK FINANCIAL LIMITED,RFL,23/05/2017,"As from the close of trading on Tuesday, 23 May 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
AMEX RESOURCES LIMITED,AXZ,24/05/2017,"As from the close of trading on Wednesday, 24 May 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14"
HEEMSKIRK CONSOLIDATED LIMITED,HSK,21/06/2017,"As from the close of trading on Wednesday, 21 June 2017, the abovementioned company will be removed from the Official List pursuant to Listing 17.14."
HERITAGE BANK LIMITED,HBS,22/06/2017,"As from the close of trading on Wednesday, 21 June 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
NIDO PETROLEUM LIMITED,NDO,26/06/2017,"As from the close of trading on Monday, 26 June 2017, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
