Company Name,ASX code,Date Delisted*,Reason
UIL ENERGY LTD,UIL,3/01/2019,we understand Strike West Holdings Pty Limited was successful with an offer of 0.485 shares in Strike Energy Limited for every one UIL share
TAWANA RESOURCES NL,TAW,4/01/2019,we understand Alliance Mineral Assets Limited was successful with an offer of 1.1 Alliance shares for every 1 Tawana share
REALM RESOURCES LIMITED,RRP,15/01/2019,"As from the close of trading on Tuesday, 15 January 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
RAWSON OIL AND GAS LTD,RAW,18/01/2019,"As from the close of trading on Friday, 18 January 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
MITULA GROUP LIMITED,MUA,23/01/2019,"As from the close of trading on Tuesday, 22 January 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
PHILEO AUSTRALIA LIMITED,PHI,1/02/2019,"As from the close of trading on Friday, 1 February 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
SCOTTISH PACIFIC GROUP LIMITED,SCO,12/02/2019,"As from the close of trading on Tuesday, 12 February 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ITL HEALTH GROUP LIMITED,ITD,19/02/2019,"As from the close of trading on Friday, 15 February 2019 the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
VEALLS LIMITED,VEL,27/02/2019,"As from the close of trading on Wednesday, 27 February 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14"
GREENCROSS LIMITED,GXL,28/02/2019,"As from the close of trading on Wednesday, 27 February 2019 the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
CENTURY AUSTRALIA INVESTMENTS LIMITED,CYA,6/03/2019,"As from the close of trading on Wednesday, 6 March 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
BEADELL RESOURCES LIMITED,BDR,7/03/2019,"As from the close of trading on Wednesday, 6 March 2019 the abovementioned company was removed from the Official List pursuant to Listing rule 17.11."
EUROPA METALS LTD,EUZ,8/03/2019,"As from the close of trading on Friday, 8 March 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
EXPLAURUM LIMITED,EXU,8/03/2019,As from the close of trading on Friday 08 March 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14.
GO ENERGY GROUP LIMITED,GOE,15/03/2019,As from the close of trading on 15 March 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12.
AUS ASIA MINERALS LIMITED,AQJ,18/03/2019,"As from the close of trading on Monday, 18 March 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12"
INTERNATIONAL GOLDFIELDS LIMITED...,IGS,18/03/2019,"As from the close of trading on Monday, 18 March 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
SINOVUS MINING LIMITED,SNV,18/03/2019,"As from the close of trading on Monday, 18 March 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
NKWE PLATINUM LIMITED,NKP,22/03/2019,"As from the close of trading on Thursday, 21 March 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ORION HEALTH GROUP LIMITED,OHE,28/03/2019,"As from the close of trading on Thursday, 28 March 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14"
RAFFLES CAPITAL LIMITED,RAF,29/03/2019,"As from the close of trading on Friday, 29 March 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11"
ROLEK RESOURCES LTD,RLK,1/04/2019,"From the commencement of trading on Monday, 1 April 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
A.C.N. 004 410 833 LIMITED,ARI,8/04/2019,"As from the commencement of trading on Monday, 8 April 2019 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.12."
DORAY MINERALS LIMITED,DRM,9/04/2019,"From commencement of trading on Tuesday, 9 April 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
PAN ASIA CORPORATION LIMITED,PZC,11/04/2019,The abovementioned company will be removed from the Official List effective immediately pursuant to Listing rule 17.12.
KINA PETROLEUM LIMITED,KPL,16/04/2019,"As from the close of trading on Tuesday, 16 April 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
MARETERRAM LIMITED,MTM,16/04/2019,"As from the close of trading on Monday, 15 April 2019, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
