Company Name,ASX code,Date Delisted*,Reason
PREMIUM INVESTORS LIMITED,PRV,4/01/2013,Following the implementation of the Scheme of Arrangement whereby WAM Capital Limited acquired all of the Company's securities.
MCM ENTERTAINMENT GROUP LIMITED,MEG,7/01/2013,Following shareholder approval at the company's Annual General Meeting held on 30 November 2012.
COVENTRY RESOURCES LIMITED,CVY,8/01/2013,following the completion of the Scheme of Arrangement with Crescent Resource Corp.
APA SUB GROUP,HDF,9/01/2013,following the completion of compulsory acquisition process by APA Group.
SERIES 2008-1E EHP REDS TRUST,REI,9/01/2013,following the redemption of all remaining notes of the Trust.
AUSTRALIAN MASTERS CORPORATE BOND FUND NO 4 LIMITED,AKX,14/01/2013,following payment of the final capital return.
ACER ENERGY LIMITED,ACN,15/01/2013,following completion of the compulsory acquisition of all the outstanding shares in the Company by Drillsearch Energy Limited.
EXCO RESOURCES LIMITED,EXS,15/01/2013,following completion of the compulsory acquisition of the Company by Washington H. Soul Pattinson & Company Limited.
MARENGO MINING LIMITED,MGO,16/01/2013,"following the admission of Marengo Mining Canada Limited, the successor entity of the Company to the Official List."
INTEGRA MINING LIMITED,IGR,18/01/2013,following the merger by scheme of arrangement with Silver Lake Resources Limited.
OCEAN CAPITAL LIMITED,OCE,24/01/2013,At the Company's request as approved by shareholders at the Annual General Meeting held on 17 December 2012.
ALESCO CORPORATION LIMITED,ALS,29/01/2013,Following completion of the compulsory acquisition process by DuluxGroup Limited.
CNPR GROUP,CNP,31/01/2013,"Following the proposed process for winding up of the company, the Trust and other entities in the former Centro Properties Group as outlined in the explanatory memorandum issued to securityholders in October 2011 for the restructure implemented on 22 December 2011."
BOWEN ENERGY LIMITED,BWN,5/02/2013,following receipt of a copy of the compulsory acquisition notice from Bhushan Steel (Australia) Pty Limited.
CGA MINING LIMITED,CGX,5/02/2013,following completion of the Scheme of Arrangement with B2Gold Corp.
L&M; ENERGY LIMITED,LME,6/02/2013,following despatch of the compulsory acquisition notices by New Dawn Energy Limited.
CORTONA RESOURCES LIMITED,CRC,7/02/2013,following completion of the Scheme of Arrangement with Unity Mining Limited.
3Q HOLDINGS LIMITED,TQH,12/02/2013,following the request by the Company.
