Company Name,ASX code,Date Delisted*,Reason
ALLCO HYBRID INVESTMENT TRUST,AHU,14/01/2009,following the removal of all of the quoted securities of the Trust.
INGENA GROUP LIMITED,IGG,14/01/2009,following compulsory acquisition by UXC Limited under its takeover offer.
CITIC AUSTRALIA TRADING LIMITED,CAL,20/01/2009,at the request of the company following a selective reduction of capital.
MYOB LIMITED,MYO,23/01/2009,following the issue of compulsory acquisition notices by Manhattan Software Bidco Pty Ltd under its takeover offer for all of the Company's shares.
AEQUS CAPITAL LIMITED,AQE,27/01/2009,following compulsory acquisition by Findlay Securities Limited.
MIDWEST CORPORATION LIMITED,MIS,29/01/2009,following compulsory acquisition by Sinosteel Ocean Capital Pty Ltd under its takeover offer.
HUNTLEY INVESTMENT COMPANY LIMITED,HIC,30/01/2009,following receipt of the compulsory acquisition notice from Brickworks Investment Company Limited.
ROMA PETROLEUM NL,RPM,30/01/2009,following the issue of compulsory acquisition notices by Queensland Gas Company Limited.
SUNSHINE GAS LIMITED,SHG,30/01/2009,following the issue of compulsory acquisition notices by Queensland Gas Company Limited.
ESPLANADE PROPERTY FUND,EPF,19/02/2009,following unitholder approval.
SCARBOROUGH EQUITIES LIMITED,SCB,16/03/2009,following completion of merger by scheme of arrangement with Bentley Capital Limited (formerly known as Bentley International Limited).
PERLS II TRUST,PCB,23/03/2009,following the redemption of the Perls II units.
KH FOODS LIMITED,KHF,25/03/2009,following shareholder approval to place the Company into voluntary liquidation.
INCREMENTAL PETROLEUM LIMITED,IPM,26/03/2009,following compulsory acquisition by Transatlantic Australia Pty Ltd under its takeover offer.
CHINA CONSTRUCTION HOLDINGS LIMITED,CIH,27/03/2009,At ASX's Discretion.
CITIGROUP GLOBAL MARKETS AUSTRALIA FINANCIAL PRODUCTS LTD,SSB,1/04/2009,Failure to quote any securities as required by ASX Limited on or before Wednesday 1 April 2009.
WARATAH COAL INC,WCI,1/04/2009,"following the issue by Mineralogy Pty Ltd of compulsory acquisition notices on Tuesday, 13 January 2009."
QUEENSLAND GAS COMPANY LIMITED,QGC,3/04/2009,following the issue by BG International (AUS) Investments Pty Limited of compulsory acquisition notices.
FUSION RESOURCES LIMITED,FSN,8/04/2009,following the completion of compulsory acquisition of the outstanding shares in the Company.
SYDNEY GAS LTD,SGL,9/04/2009,following the completion of compulsory acquisition of the outstanding shares in the Company.
ERAWAN COMPANY LIMITED,EWN,15/04/2009,At the discretion of ASX.
MACARTHURCOOK ASIAN REAL ESTATE SECURITIES FUND,MSA,16/04/2009,following advice that the final distribution to unitholders has been paid.
BHP BILLITON FINANCE LIMITED,BHF,29/04/2009,following maturity of the remaining class of notes of the Company.
PEOPLE TELECOM LIMITED,PEO,1/05/2009,following the merger by scheme of arrangement with M2 Telecommunications Group Limited being effective.
INTERSTAR MILLENNIUM SERIES 2003-2 TRUST,IMV,14/05/2009,Following redemption of all remaining notes of the Trust.
AUSTRALIAN WEALTH MANAGEMENT LIMITED,AUW,15/05/2009,following the announcement by the Company that the merger by scheme of arrangement with IOOF Holdings Ltd (ASX Code IFL) has been completed.
GENERATOR AUSTRALIA #1 TRUST,GNA,15/05/2009,following redemption of all remaining notes of the Trust.
PURE ENERGY RESOURCES LIMITED,PES,3/06/2009,following compulsory acquisition by BG International (Aus) Pty Limited.
JACKSON MINERALS LIMITED,JAK,12/06/2009,following the merger by scheme of arrangement with Scimitar Resources Limited being effective.
MAWSON WEST LTD,MWE,17/06/2009,in accordance with a resolution passed by shareholders of the Company at a General Meeting on 18 May 2009.
BABCOCK & BROWN LIMITED,BNB,18/06/2009,at the request of the company.
GIPPSLAND OFFSHORE PETROLEUM LIMITED,GOP,24/06/2009,in accordance with a resolution passed by shareholders of the Company at a General Meeting held on 10 June 2009.
NIBC BANK N.V.,NID,25/06/2009,following redemption of all remaining notes of the company.
COMMONWEALTH DIVERSIFIED SHARE FUND,CDF,26/06/2009,Following termination of the Fund and payment of the final distribution of net proceeds from the Fund to unit holders.
VIDELLI LIMITED,VID,30/06/2009,following shareholder approval.
CONSOLIDATED RUTILE LIMITED,CRT,2/07/2009,following the issue by Unimin Australia Limited of compulsory acquisition notices on Tuesday 9 June 2009.
MINERAL SECURITIES LIMITED.,MXX,3/07/2009,following completion of the takeover offer by Copperco Limited.
AMAZING LOANS LIMITED,AZD,8/07/2009,At the Company's request.
BLUEFREEWAY LIMITED,BLU,8/07/2009,following an announcement by the Company confirming the implementation of the scheme of arrangement with IPMG Administration Pty Limited on 7 July 2009.
INTERNATIONAL WINE INVESTMENT FUND (THE),IWI,21/07/2009,following receipt of shareholder approval for the reconstruction of the Fund on 25 June 2009.
MACQUARIE COMMUNICATIONS INFRASTRUCTURE GROUP,MCG,24/07/2009,following completion of the scheme of arrangments between the Group and Canada Pension Plan Investment Board.
ALUMINEX RESOURCES LIMITED,ALM,31/07/2009,the entity being unable to meet subscription costs.
