Company Name,ASX code,Date Delisted*,Reason
HARVEY WORLD TRAVEL GROUP LIMITED,HWT,3/01/2006,Following receipt of compulsory acquisition notice by S8 Limited.
METCASH TRADING LIMITED,MTT,16/01/2006,At the request of the company following the redemption of the company's outstandings CULS.
NORTHERN GOLD NL,NNG,16/01/2006,Following compulsory acquisition by GBS Gold Australia Pty Limited.
TORONTO DOMINION AUSTRALIA LIMITED,TDA,16/02/2006,At the request of the Company.
TORONTO-DOMINION BANK (THE),TDB,16/02/2006,At the request of the Company.
NATIONAL TELECOMS GROUP LIMITED,NTG,3/03/2006,Following compulsory acquisition by Mr Anthony Hakim.
PENINSULAR & ORIENTAL STEAM NAVIGATION COMPANY (THE),PSN,9/03/2006,"At the company's request following the lodgement of the Court Orders to sanction the proposed acquisition of the company by Thunder FZE, a wholly owned subsidiary of Ports, Customs and Free Zone Corporation, Dubai."
STARGAMES LIMITED,SGS,10/03/2006,Following compulsory acquisition by Shuffle Master Australia Pty Ltd.
PLACER DOME INC,PDG,15/03/2006,Following compulsory acquisition by Barrick Gold Corporation.
PASMINCO LIMITED,PAS,17/03/2006,At the request of the company.
NOVERA ENERGY LIMITED,NVE,4/04/2006,"At the request of the entity, following its decision to list on AIM only."
CARTER HOLT HARVEY LIMITED,CHY,5/04/2006,"At the request of the company, following compulsory acquisition by Rank Group Investments Limited."
CITECT CORPORATION LIMITED,CTL,5/04/2006,"At the request of the company, following completion of the scheme of arrangement with Schneider Electric Australia Holdings Pty Limited."
GALLERY GOLD LIMITED,GGN,7/04/2006,"At the company's request, following completion of the Scheme of Arrangement with IAMGOLD Corporation."
HWW LIMITED,HWW,20/04/2006,At the entity's request following implementation of the scheme of arrangement with Ninemsn Pty Limited.
AUSTRALIAN ENERGY LIMITED,AEN,24/04/2006,"At the request of the Company, as a result of the Scheme of Arrangements between the Company and its shareholders."
SIBERIA MINING CORPORATION LIMITED,SIB,5/05/2006,Following compulsory acquisition by Monarch Resources Limited.
VOLANTE GROUP LIMITED,VGL,11/05/2006,Following the receipt of the compulsory acquisition notice from Commander Communications Limited.
TETHYAN COPPER COMPANY LIMITED,TYC,19/05/2006,Following the completion of the takeover offer by Atacama Copper Pty Limited.
TRIBECA LEARNING LIMITED,TBC,24/05/2006,Following the Federal Court's approval of the scheme of arrangement between the company and its shareholders.
BAYERISCHE HYPO-UND VEREINSBANK,BHV,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT,BMW,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
BMW (UK) CAPITAL PLC,BME,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
BMW COORDINATION CENTER N.V.,BMK,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
BMW FINANCE N.V.,BMF,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
BMW US CAPITAL LLC,BMU,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
CENTAURI CORPORATION,CET,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
DEPFA DEUTSCHE PFANDBRIEF BANK AG,DPF,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
EKSPORTFINANS ASA,EKS,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
OPEN TELECOMMUNICATIONS LIMITED,OTT,31/05/2006,At the request of the company.
PROVINCE OF BRITISH COLUMBIA,PBR,31/05/2006,"At the discretion of ASX, as the entity has failed to quote any securities."
SDS CORPORATION LIMITED,SDS,9/06/2006,Following the compulsory acquisition by Sandvik Mining and Construction Australia Pty Ltd.
MBF CARPENTERS LIMITED,MBF,19/06/2006,Following compulsory acquisition by MBF Holdings Berhad.
MACQUARIE PARK STREET TRUST,MOR,27/06/2006,Following conversion of the trust's only quoted securities - 7.5% reset convertible preference units (ASX code: MORPA).
