Company Name,ASX code,Date Delisted*,Reason
MARINER RETIREMENT SOLUTIONS LIMITED,MRT,4/01/2007,following completion of the compulsory acquisition of the Company's securities by Mariner Financial Limited.
BRESAGEN LIMITED,BGN,8/01/2007,following compulsory acquisition by Hospira Holdings (S.A.) Pty Ltd.
B DIGITAL LIMITED,BBB,9/01/2007,following compulsory acquisition by SP Telemedia Limited under its takeover offer.
SERVICE STREAM LTD,STR,9/01/2007,following lodgement of court orders approving the scheme of arrangement between the company and Total Communications Infrastructure Limited (to be renamed Service Stream Limited - ASX code SSM).
GLOBAL TELEVISION LIMITED,GTV,15/01/2007,following the receipt of the compulsory acquisition notice from Catalyst Media Services Pty Limited.
METALS EXPLORATION LIMITED.,MTX,17/01/2007,"at the request of the Company, following the completion of the merger with Bluestone Tin Limited."
HARDMAN RESOURCES LIMITED,HDR,19/01/2007,"at the request of the Company, under listing rule 17.11 following the completion of the merger with Bluestone Tin Limited."
AZTEC RESOURCES LIMITED,AZR,22/01/2007,Following compulsory acquisition by Mount Gibson Iron Limited.
REDPORT LIMITED,RPT,22/01/2007,following compulsory acquisition by Mega Redport Pty Ltd.
BRAZIN LIMITED,BRZ,25/01/2007,following compulsory acquisition by MCCH Pty Ltd under its takeover offer.
LEVIATHAN RESOURCES LIMITED,LVR,25/01/2007,following compulsory acquisition by Perseverance Corporation Limited.
S8 LIMITED,SEL,29/01/2007,following compulsory acquisition by MFS Limited.
DEUTSCHE POSTBANK AG,DSL,31/01/2007,at the request of the Company
TOURISM & LEISURE TRUST,TLT,1/02/2007,following the implementation of the acquisition of all the Trust's units by Toga Accomodation Fund Trust 2 by way of a trust scheme of arrangement.
INTERSTAR MILLENIUM SERIES 2003-4 TRUST,IMY,2/02/2007,"At the request of the Manager of the Trust, following redemption of the remaining classes of notes of the Trust."
WESTERN AUSTRALIAN TREASURY CORPORATION,XWD,2/02/2007,at the request of the Corporation under listing rule 17.11.
MAYNE PHARMA LIMITED,MYP,5/02/2007,"at the request of the Company following acquistion by Hospira Inc., pursuant to scheme of arrangement."
NETWORK FOODS LIMITED,NFO,9/02/2007,At the request of the company.
BAXTER GROUP LIMITED,BAX,20/02/2007,At the request of the company following compulsory acquisition by Transpacific Waste Management Pty Ltd.
AUSTRAL COAL LIMITED,AUO,21/02/2007,At the company's request.
VISION SYSTEMS LIMITED.,VSL,23/02/2007,At the company's request following compulsory acquisition by Danaher Corporation Limited.
