Company Name,ASX code,Date Delisted*,Reason
PIRELLI CABLES AUSTRALIA LIMITED,PRL,4/01/2001,compulsory acquisition by Pirelli Cavi e Sistemi S.p.A.
AUSTRALIAN TOPMAKING SERVICES LIMITED,ASE,15/01/2001,at request of entity following selective capital reduction
BATTLE MOUNTAIN GOLD COMPANY,BMG,19/01/2001,merged with Newmont Mining Corporation
SPICERS PAPER LIMITED,SCP,12/02/2001,"compulsory acquisition by Paper Australia P/L, wholly owned subsidiary of PaperlinX Limited"
TMP WORLDWIDE INC,TMP,15/02/2001,at entity's request
GREYHOUND PIONEER AUSTRALIA LIMITED,GPA,28/02/2001,compulsory acquisition by McCaffertys Holdings Limited
FINEMORE HOLDINGS LIMITED,FMH,2/03/2001,merger with Tull Holdings Limited
EMAIL LIMITED,EML,7/03/2001,compulsory acquisition by Smorgon Distribution Limited
IAMA LIMITED,IAM,7/03/2001,compulsory acquisition by Wesfarmers Agribusiness Limited
AUSTRALIAN HOSPITAL CARE LIMITED,AHX,9/03/2001,compulsory acquisition by Mayne Nickless Limited
DOME RESOURCES NL,DOR,22/03/2001,"compulsory acquisition by Durban Roodepoort Deep, Limited"
PALMER CORPORATION LIMITED,PLC,22/03/2001,compulsory acquisition by Colorado Group Limited
FLETCHER CHALLENGE LIMITED - BUILDING DIVISION SHARES,FLCBS,30/03/2001,at the request of Fletcher Challenge Limited
FLETCHER CHALLENGE LIMITED - ENERGY DIVISION SHARES,FLCES,30/03/2001,at the request of Fletcher Challenge Limited
ARTHUR YATES & CO LIMITED,YTS,6/04/2001,compulsory acquisition by Nogard Clohessy Equity Limited
HAZELTON AIRLINES LIMITED,HZA,9/04/2001,compulsory acquisition by Ansett Australia
EVANS DEAKIN INDUSTRIES LIMITED,EDI,10/04/2001,compulsory acquisition by Downer Holdings Pty Limited
ARMSTRONG JONES RETAIL FUND,AJR,12/04/2001,at the request by the responsible entity of the Trust for redemption of all units in the Trust and issue of new units to ING Real Estate International III BV
BT RESOURCES MANAGEMENT LIMITED,BTM,12/04/2001,per special resolution of shareholders for the voluntary wind-up of the company
KIWI DEVELOPMENT TRUST,KWD,19/04/2001,compulsory acquisition by Kiwi Property Holdings Ltd
WESFI LIMITED,WFI,20/04/2001,compulsory acquisition by Amatek Holdings Limited
BRITISH AMERICAN TOBACCO AUSTRALASIA LIMITED,BAM,9/05/2001,now indirect wholly owned subsidiary of British American Tobacco plc
WINE PLANET HOLDINGS LIMITED,WIN,25/05/2001,compulsory acquisition by Cellarmaster Wines Pty Limited
LACHLAN RESOURCES NL,LLR,1/06/2001,at entity's request following selective capital reduction; now wholly owned subsidiary of Homestake Mining Company
GUANGDONG BUILDING INDUSTRIES LIMITED,GDL,21/06/2001,at the entity's request
FRANKED INCOME FUND (THE),FIF,29/06/2001,completion of Wesfarmers ownership simplification
HIH INSURANCE LIMITED,HIH,4/07/2001,at the entity's request
HIH HOLDINGS (NZ) LIMITED,HNZ,4/07/2001,at the entity's request
MEDIA ENTERTAINMENT GROUP LIMITED,MED,6/07/2001,following compulsory acquisition by Television & Media Services Limited
MOBILE COMMUNICATIONS HOLDINGS LIMITED,MBC,6/07/2001,following compulsory acquisition by Vodafone Investments Australia Limited
