Company Name,ASX code,Date Delisted*,Reason
SOUTHERN CROSS AIRPORTS CORPORATION HOLDINGS LTD,SAK,4/01/2012,following settlement and redemption of Sydney Kingsford Smith Interest Earning Securities.
SOULS PRIVATE EQUITY LIMITED,SOE,9/01/2012,following confirmation of the implementation of the scheme of arrangement under which Washington H Soul Pattinson & Company Limited has acquired all of the shares of the Company.
GEOTHERMAL RESOURCES LIMITED,GHT,13/01/2012,Following completion of the takeover offer made by Havilah Resources NL.
QMASTOR LIMITED,QML,13/01/2012,Following completion of the compulsory acquisition of the Company's securities by Triple Point (Australia) Pty Ltd.
ADELAIDE ENERGY LIMITED,ADE,16/01/2012,Following completion of the takeover offer made by Beach Petroleum Limited.
BOW ENERGY LIMITED,BOW,20/01/2012,"Following completion of the scheme of arrangement with Arrow Energy Holdings Pty Ltd, and in accordance with Listing Rule 17.11."
HUNNU COAL LIMITED,HUN,20/01/2012,Following conpulsory acquisition by Banpu Minerals (Singapore) Pte Limited.
SMART SERIES 2007-1 TRUST,SMJ,1/02/2012,following redemption of all remaining notes of the Trust.
SMART SERIES 2007-2 TRUST,SMV,1/02/2012,following redemption of all remaining notes of the Trust.
LAGUNA RESOURCES NL,LRC,15/02/2012,following the compulsory acquisition by Kingsgate Consolidated Limited of all the bid class securities the subject of the compulsory acquisition notice released to the market.
MSF SUGAR LIMITED,MSF,16/03/2012,following compulsory acquisition by Mitr Siam International Pte Ltd.
OOHMEDIA GROUP LIMITED,OOH,16/03/2012,"following implementation of the scheme of arrangement under which all of the Company's shares were acquired by Outdoor Media Operations Pty Limited, an entity owned by CHAMP III Funds."
ANVIL MINING LIMITED,AVM,19/03/2012,following the compulsory acquisition by MMG Malachite Limited.
GGG RESOURCES PLC,GGB,19/03/2012,following satisfaction of conditions for removal.
AFRICAN IRON LIMITED,AKI,20/03/2012,following the compulsory acquisition by Exxaro Australia Iron Investments Pty Ltd.
RAZOR RISK TECHNOLOGIES LIMITED,RZR,29/03/2012,following completion of the compulsory acquisition of its securities by TMX Australia Pty Ltd.
ALPHA FINANCIAL PRODUCTS LIMITED,AFP,2/04/2012,Following final payment of the Series 1 managed income unsecured floating rate notes and final interest coupon.
EXTRACT RESOURCES LTD,EXT,16/04/2012,following the compulsory acquisition by Taurus Minerals Limited.
LIVING AND LEISURE AUSTRALIA GROUP,LLA,18/04/2012,following the completion of the compulsory acquisition process by Merlin Entertainments (Australia) Pty Ltd.
