Company Name,ASX code,Date Delisted*,Reason
LAKE TECHNOLOGY LIMITED,LAK,5/01/2005,Following compulsory acquisition of the company by Dolby Australia Pty Limited.
GRIBBLES GROUP LIMITED (THE),GGL,7/01/2005,Following compulsory acquisition of the company by Healthscope Limited.
MPI MINES LIMITED,MPM,10/01/2005,Following compulsory acquisition of the Company by Lionore Mining International Limited.
TERRAIN AUSTRALIA LIMITED,TER,10/01/2005,Following compulsory acquisition of the Company by City Pacific Limited.
JAMES FIELDING GROUP,JFG,17/02/2005,"At the request of the entity, following the acquisition by Mirvac Group and the implementation of the scheme of arrangement."
OPSM GROUP LIMITED,OPS,18/02/2005,Following compulsory acquisition by Luxottica South Pacific Pty Limited.
HEALTH COMMUNICATION NETWORK LIMITED,HCN,24/02/2005,Compulsory acquisition by Primary Health Care Limited.
SPC ARDMONA LIMITED,SPC,25/02/2005,Following the Scheme of Arrangement with Coca-Cola Amatil Limited becoming effective.
SOFTLAW CORPORATION LIMITED,SLC,28/02/2005,Following compulsory acquisition by SLC Capital Limited under its takeover offer.
WADEPACK LIMITED,WDP,28/02/2005,Following compulsory acquisition by Carter Holt Harvey Pty Limited under its takeover offer.
YORK GROUP LIMITED,YSL,28/02/2005,Following compulsory acquisition by Plaspak Group Limited under its takeover offer.
MINOTAUR RESOURCES LIMITED,MNR,3/03/2005,"At the request of the entity, following completion of schemes of arrangement between the company and its shareholders and optionholders."
CENTRO PROPERTIES GROUP,CEP,18/03/2005,At the group's request following the merger with Prime Retail Group (now known as Centro Properties Group - ASX code CNP).
EARTH SANCTUARIES LIMITED,ESL,21/03/2005,At the entity's request following shareholder approval of the entity's removal and the merger with ES Link Pty Ltd.
PACIFIC STRATEGIC INVESTMENTS LIMITED,PSI,1/04/2005,.
IVANHOE MINES LTD.,IVN,13/04/2005,At the entity's request. Refer to the entity's announcement dated 13 January 2005.
TEMPO SERVICES LIMITED,TEM,14/04/2005,At the entity's request following lodgement with ASIC of the court order approving the Schemes of Arrangements with Pacific Services Solutions Pty Limited.
RELIANCE MINING LIMITED,REM,22/04/2005,"Following compulsory acquisition by Consolidated Nickel Pty Ltd, a wholly owned subsidiary of Consolidated Minerals Limited."
ENVIC HOLDINGS 2 LIMITED,ENC,27/04/2005,"At the entity's request, as the entity does not have any quoted securities."
AMP GROUP FINANCE SERVICES LIMITED,AMQ,11/05/2005,following the redemption of the Company's income securities.
